n,regime,epsilon,minimax,renyi_converse,fano_converse
41,linear,0.024390243902439025,0.7787754209398873,0.6863225613846528,0.5386469045892037
42,linear,0.023809523809523808,0.7781063823262515,0.6835866598010085,0.5369669006466657
43,linear,0.023255813953488372,0.7762334077460142,0.6808084156866114,0.5352383617861177
44,linear,0.022727272727272728,0.7753714701264642,0.6779901535597426,0.5334646310260572
45,linear,0.022222222222222223,0.7735858541204796,0.675134016065874,0.5316487627610932
46,linear,0.021739130434782608,0.7724766147353261,0.6722419833782575,0.5297935533494575
47,linear,0.02127659574468085,0.7708296960560497,0.6693158901607945,0.5279015678665322
48,linear,0.020833333333333332,0.7694803694214659,0.6663574404433842,0.525975163576735
49,linear,0.02040816326530612,0.7679944992874312,0.6633682207035362,0.5240165105865904
50,linear,0.02,0.7664447610583457,0.6603497114016876,0.5220276100683534
51,linear,0.0196078431372549,0.7650720095247096,0.6573032971792863,0.5200103103829996
52,linear,0.019230769230769232,0.7633985460957851,0.6542302758970193,0.5179663213812696
53,linear,0.018867924528301886,0.7620431749963633,0.6511318666641388,0.5158972271198048
54,linear,0.018518518518518517,0.7602941509058992,0.648009216987741,0.5138044971946493
55,linear,0.01818181818181818,0.7588209818995715,0.6448634091523636,0.5116894968652916
56,linear,0.017857142857142856,0.7571223622035086,0.6416954659247542,0.5095534961179575
57,linear,0.017543859649122806,0.7555252921529797,0.6385063556654462,0.5073976777962378
58,linear,0.017241379310344827,0.7538856458903622,0.6352969969177444,0.5052231449096856
59,linear,0.01694915254237288,0.7521816487682778,0.6320682625352272,0.503030927216201
60,linear,0.016666666666666666,0.7505397189807211,0.6288209834008205,0.5008219871614163
61,linear,0.01639344262295082,0.7487982197029113,0.6255559517837075,0.49859722524752426
62,linear,0.016129032258064516,0.7471143537469365,0.6222739243743381,0.4963574848947736
63,linear,0.015873015873015872,0.7453807903919236,0.6189756250328674,0.4941035568509441
64,linear,0.015625,0.7436725668493221,0.6156617472818776,0.4918361831972946
65,linear,0.015384615384615385,0.7418681785035695,0.6123329565706106,0.48955606099360116
66,linear,0.015151515151515152,0.7401635117435643,0.6089898923345899,0.48726384559981273
67,linear,0.014925373134328358,0.7384202772406905,0.6056331698717298,0.4849601537074413
68,linear,0.014705882352941176,0.7365930032752929,0.6022633820535831,0.4826455661099661
69,linear,0.014492753623188406,0.7348683458917027,0.5988811008882544,0.48032063023819516
70,linear,0.014285714285714285,0.7330237495809996,0.5954868789495724,0.4779858624836051
71,linear,0.014084507042253521,0.7312237584161135,0.5920812506856274,0.4756417503301337
72,linear,0.013888888888888888,0.7294273094504397,0.5886647336181994,0.4732887543126604
73,linear,0.0136986301369863,0.7275749092970546,0.5852378294434163,0.47092730981844555
74,linear,0.013513513513513514,0.725711449757948,0.5818010250429214,0.46855782874607077
75,linear,0.013333333333333334,0.7239052644752062,0.5783547934137744,0.4661807010348986
76,linear,0.013157894736842105,0.7220715329596511,0.5748995945244766,0.4637962960767239
77,linear,0.012987012987012988,0.7201452229831954,0.5714358761038244,0.46140496402009445
78,linear,0.01282051282051282,0.7183386414770031,0.567964074368499,0.4590070369767302
79,linear,0.012658227848101266,0.71646378052558,0.564484614694785,0.45660283013852554
80,linear,0.0125,0.7145241588993864,0.5609979122392764,0.45419264281278926
81,linear,0.012345679012345678,0.7126749219109026,0.5575043725129467,0.4517767593826362
82,linear,0.012195121951219513,0.7107906717934905,0.5540043919124509,0.44935545019877876
83,linear,0.012048192771084338,0.7088688973900563,0.5504983582123935,0.44692897240838014
84,linear,0.011904761904761904,0.7069296126782691,0.5469866510216257,0.44449757072609586
85,linear,0.011764705882352941,0.705072433922024,0.5434696422066074,0.4420614781519643
86,linear,0.011627906976744186,0.7031375043696538,0.5399476962844941,0.4396209166403744
87,linear,0.011494252873563218,0.7011543357562108,0.5364211707883532,0.4371760977239628
88,linear,0.011363636363636364,0.6992746023383982,0.5328904166066968,0.43472722309594525
89,linear,0.011235955056179775,0.6973464789143535,0.5293557782993991,0.43227448515408184
90,linear,0.011111111111111112,0.6953789944009563,0.5258175943917764,0.4298180675091926
